,Age,Assists,C_Apps,C_Assists,C_Clean_Sheets,C_Goals,C_Mins,Clean Sheets,Club,Club_Appearances,Country,Current_Value,F_Def,F_Drib,F_Pace,F_Passing,F_Phy,F_Rating,F_Shooting,F_WRate,FantasyLeaguePoints,FantasyLeagueVal,Goals,Goals_per_game,Mins_per_goal,Minutes_played_club,Name,Position,Previous_Value,Wiki_Views
0,30.0,12.0,18.0,7.0,0.0,14.0,1620.0,,FC Barcelona,34.0,Argentina,"180,00 Mill. ",26.0,95.0,89.0,86.0,61.0,93.0,90.0,Medium / Medium,127.0,30.0,37.0,1.09,77.0,2832.0,Lionel Messi,Right Wing,"120,00 Mill. ?","23,736"
1,29.0,3.0,15.0,2.0,9.0,1.0,1313.0,,FC Barcelona,33.0,Spain,"80,00 Mill. ",82.0,74.0,40.0,79.0,81.0,86.0,59.0,Medium / Medium,58.0,11.5,0.0,0,,2693.0,Sergio Busquets,Defensive Midfield,"60,00 Mill. ?","1,124"
2,20.0,13.0,2.0,1.0,1.0,0.0,118.0,,FC Barcelona,32.0,France,"80,00 Mill. ",32.0,88.0,91.0,75.0,56.0,83.0,76.0,High / Low,10.0,3.5,6.0,0.18,340.0,2040.0,Ousmane Dembélé,Left Wing,"33,00 Mill. ?","4,782"
3,29.0,6.0,16.0,3.0,12.0,0.0,1452.0,,FC Barcelona,32.0,Croatia,"45,00 Mill. ",60.0,82.0,65.0,86.0,66.0,87.0,84.0,Medium / Medium,68.0,15.0,7.0,0.22,335.0,2344.0,Ivan Rakitic,Central Midfield,"45,00 Mill. ?",9
4,28.0,6.0,16.0,6.0,11.0,1.0,1428.0,,FC Barcelona,26.0,Spain,"40,00 Mill. ",81.0,82.0,93.0,75.0,72.0,85.0,69.0,High / Medium,99.0,13.0,1.0,0.04,1.966,1966.0,Jordi Alba,Left-Back,"32,00 Mill. ?",792
5,30.0,15.0,15.0,1.0,0.0,11.0,1342.0,,FC Barcelona,35.0,Uruguay,"85,00 Mill. ",42.0,86.0,82.0,79.0,81.0,92.0,90.0,High / Medium,85.0,24.0,29.0,0.83,99.0,2862.0,Luis Suárez,Centre-Forward,"90,00 Mill. ?","4,844"
6,24.0,0.0,12.0,0.0,7.0,0.0,1062.0,,FC Barcelona,25.0,France,"40,00 Mill. ",82.0,71.0,74.0,71.0,79.0,83.0,64.0,Medium / High,50.0,5.5,1.0,0.04,2.132,2132.0,Samuel Umtiti,Centre-Back,"30,00 Mill. ?","1,199"
7,29.0,4.0,10.0,2.0,7.0,7.0,922.0,,FC Barcelona,20.0,Brazil,"40,00 Mill. ",77.0,77.0,76.0,74.0,76.0,81.0,74.0,High / High,81.0,9.0,7.0,0.35,257.0,1800.0,Paulinho,Central Midfield,"20,00 Mill. ?",48
8,30.0,0.0,13.0,0.0,8.0,1.0,1170.0,,FC Barcelona,25.0,Spain,"40,00 Mill. ",86.0,66.0,65.0,69.0,76.0,87.0,61.0,High / Medium,61.0,7.8,2.0,0.08,1.096,2192.0,Gerard Piqué,Centre-Back,"40,00 Mill. ?","5,308"
9,25.0,6.0,12.0,6.0,10.0,1.0,1130.0,,FC Barcelona,32.0,Spain,"40,00 Mill. ",79.0,75.0,77.0,80.0,72.0,81.0,64.0,Medium / Medium,90.0,10.5,0.0,0,,2381.0,Sergi Roberto,Central Midfield,"25,00 Mill. ?",962
